OMRP,men,women,pop_total,mean_age,age_0_14,age_15_24,age_25_44,age_45_64,age_65_plus,pct_0_14,pct_65_plus,pct_women
12402,740,842,1582,37.65107458912769,107,415,533,284,243,6.763590391908976,15.360303413400759,53.22376738305942
12403,258,251,509,40.75834970530452,69,48,172,143,77,13.555992141453832,15.12770137524558,49.31237721021611
12404,12,35,47,86.40425531914893,0,0,0,1,46,0.0,97.87234042553192,74.46808510638297
12405,14,21,35,74.68571428571428,0,0,1,6,28,0.0,80.0,60.0
12406,26,20,46,68.6304347826087,0,2,3,7,34,0.0,73.91304347826087,43.47826086956522
12407,2,1,3,69.33333333333333,0,0,0,1,2,0.0,66.66666666666667,33.333333333333336
12408,1,2,3,78.66666666666667,0,0,0,1,2,0.0,66.66666666666667,66.66666666666667
12409,1,0,1,68.0,0,0,0,0,1,0.0,100.0,0.0
12410,1,1,2,84.5,0,0,0,0,2,0.0,100.0,50.0
12411,1,2,3,91.0,0,0,0,0,3,0.0,100.0,66.66666666666667
12412,0,2,2,82.5,0,0,0,0,2,0.0,100.0,100.0
12413,1,1,2,87.0,0,0,0,0,2,0.0,100.0,50.0
12414,1,0,1,81.0,0,0,0,0,1,0.0,100.0,0.0
12415,370,443,813,44.083640836408364,158,60,166,217,212,19.43419434194342,26.076260762607625,54.48954489544895
12416,4,8,12,24.083333333333332,0,9,3,0,0,0.0,0.0,66.66666666666667
12417,755,745,1500,37.20933333333333,315,151,451,382,201,21.0,13.4,49.666666666666664
12419,959,908,1867,34.23727905731119,279,362,668,431,127,14.94376004284949,6.8023567220139265,48.63417246920193
12421,35,29,64,38.28125,8,8,24,20,4,12.5,6.25,45.3125
12422,20,14,34,46.6764705882353,4,0,6,19,5,11.764705882352942,14.705882352941176,41.1764705882353
12501,365,413,778,46.12853470437018,117,66,174,195,226,15.038560411311053,29.04884318766067,53.084832904884315
12502,18,15,33,38.93939393939394,5,5,9,10,4,15.151515151515152,12.121212121212121,45.45454545454545
12504,18,15,33,83.24242424242425,0,0,0,1,32,0.0,96.96969696969697,45.45454545454545
12505,4,6,10,71.2,0,0,0,3,7,0.0,70.0,60.0
12506,825,923,1748,37.41762013729977,347,234,496,439,232,19.851258581235697,13.272311212814646,52.80320366132723
12507,14,5,19,24.05263157894737,0,13,6,0,0,0.0,0.0,26.31578947368421
12508,5,7,12,22.916666666666668,0,9,3,0,0,0.0,0.0,58.333333333333336
12509,1166,1138,2304,40.59722222222222,444,277,542,550,491,19.270833333333332,21.31076388888889,49.392361111111114
12510,167,141,308,42.78896103896104,52,37,59,95,65,16.883116883116884,21.103896103896105,45.77922077922078
12511,202,181,383,44.17232375979112,53,50,70,128,82,13.838120104438643,21.409921671018278,47.25848563968668
12512,112,113,225,26.613333333333333,89,7,89,35,5,39.55555555555556,2.2222222222222223,50.22222222222222
12513,5,8,13,63.61538461538461,1,0,1,4,7,7.6923076923076925,53.84615384615385,61.53846153846154
12514,23,18,41,41.09756097560975,4,2,16,17,2,9.75609756097561,4.878048780487805,43.90243902439025
12515,8,8,16,39.3125,2,2,5,6,1,12.5,6.25,50.0
12601,65,61,126,39.54761904761905,22,15,32,41,16,17.46031746031746,12.698412698412698,48.41269841269841
12602,21,19,40,44.5,1,10,6,14,9,2.5,22.5,47.5
12603,98,97,195,38.312820512820515,46,22,47,41,39,23.58974358974359,20.0,49.743589743589745
12604,77,71,148,37.054054054054056,26,30,33,44,15,17.56756756756757,10.135135135135135,47.972972972972975
12605,1386,1489,2875,38.89286956521739,693,229,790,591,572,24.104347826086958,19.895652173913042,51.791304347826085
12606,424,413,837,43.71087216248507,130,71,212,236,188,15.531660692951016,22.461170848267624,49.34289127837515
12607,30,19,49,48.42857142857143,3,7,6,21,12,6.122448979591836,24.489795918367346,38.775510204081634
12801,62,60,122,45.967213114754095,16,13,17,49,27,13.114754098360656,22.131147540983605,49.18032786885246
12802,12,11,23,52.95652173913044,2,2,3,6,10,8.695652173913043,43.47826086956522,47.82608695652174
12803,13,8,21,50.76190476190476,3,0,4,6,8,14.285714285714286,38.095238095238095,38.095238095238095
12804,76,68,144,44.388888888888886,17,19,25,56,27,11.805555555555555,18.75,47.22222222222222
12805,132,120,252,43.24603174603175,46,23,56,68,59,18.253968253968253,23.41269841269841,47.61904761904762
